pair,side,trades,win_rate,avg_return,total_return,best,worst
EURUSD=X,SHORT,83,0.4457831325301205,0.0006442884833806268,0.05347594412059202,0.009966802399053214,-0.006041070399258692
EURJPY=X,LONG,10,0.7,0.003839228565430457,0.03839228565430457,0.009938702157359404,-0.00607728333784408
GBPUSD=X,SHORT,73,0.4246575342465753,0.000512452486440595,0.037409031510163435,0.009914306800383193,-0.0061004220020135225
USDJPY=X,LONG,8,0.625,0.0017644604029192585,0.014115683223354068,0.009958228324123077,-0.006055745501236171
AUDUSD=X,LONG,5,0.4,0.0002541559816188543,0.0012707799080942713,0.009859295997590035,-0.006152640995493554
