pair,side,trades,win_rate,avg_return,total_return,best,worst
USDJPY=X,LONG,30,0.5,0.0022202245300906235,0.0666067359027187,0.0458327397589777,-0.011680445914651831
GBPUSD=X,SHORT,15,0.4,0.002332636675967019,0.034989550139505284,0.05545569714670374,-0.011892195820725706
