pair,side,trades,win_rate,avg_return,total_return,best,worst
GBPUSD=X,SHORT,17,0.47058823529411764,0.0014387646050900552,0.02445899828653094,0.009913863039186623,-0.0061004220020135225
USDJPY=X,LONG,5,0.6,0.0044847578277674265,0.022423789138837132,0.009958228324123077,-0.006038590915742254
EURJPY=X,LONG,5,0.6,0.0035329398717753686,0.017664699358876844,0.009938702157359404,-0.0060728544397507835
EURUSD=X,SHORT,27,0.37037037037037035,-7.192990837107848e-05,-0.001942107526019119,0.009966802399053214,-0.006041070399258692
