wf_id,train_start,train_end,test_start,test_end,status,breakout_days,ma_days,atr_days,atr_mult,max_hold_days,train_trades,train_long_trades,train_short_trades,train_win_rate,train_avg_return,train_median_return,train_total_return_sum,train_profit_factor,train_best_trade,train_worst_trade,train_final_equity,train_total_equity_return,train_max_drawdown,test_trades,test_long_trades,test_short_trades,test_win_rate,test_avg_return,test_median_return,test_total_return_sum,test_profit_factor,test_best_trade,test_worst_trade,test_final_equity,test_total_equity_return,test_max_drawdown
1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,OK,20,100,14,1.2,20,17,7,10,0.235294,0.00141009,-0.0013679,0.02397152,1.662487,0.0370784,-0.0064396,100713.42,0.00713422,-0.00764914,13,9,4,0.384615,-5.644e-05,-0.00168732,-0.00073369,0.981656,0.01946098,-0.01018966,99974.34,-0.00025658,-0.00597454
2,2018-01-01,2021-12-31,2022-01-01,2022-12-31,OK,20,150,14,1.2,20,26,13,13,0.346154,0.00125709,-0.00139443,0.03268442,1.489768,0.0370784,-0.01018966,100973.56,0.00973558,-0.00736463,12,7,5,0.5,0.00931564,0.0017717,0.11178773,3.763647,0.0554557,-0.01130106,103381.25,0.0338125,-0.00451591
3,2018-01-01,2022-12-31,2023-01-01,2023-12-31,OK,60,200,14,1.2,20,24,13,11,0.416667,0.00544914,-0.00091417,0.13077935,2.512402,0.0554557,-0.01151621,103961.88,0.03961878,-0.00555139,7,4,3,0.571429,0.00201514,0.00511979,0.01410599,1.586673,0.01404716,-0.0118922,100421.2,0.00421198,-0.00356766
4,2018-01-01,2023-12-31,2024-01-01,2024-12-31,OK,60,200,14,1.2,20,31,17,14,0.451613,0.00467372,-0.00051243,0.14488535,2.310998,0.0554557,-0.0118922,104399.76,0.04399764,-0.00555139,6,5,1,0.666667,-0.00044058,0.00052134,-0.00264346,0.865098,0.01156231,-0.01112414,99919.16,-0.00080842,-0.00333724
5,2018-01-01,2024-12-31,2025-01-01,2025-12-31,OK,60,150,14,1.2,20,40,24,16,0.45,0.00368727,-0.00042834,0.14749065,2.18123,0.0554557,-0.01151621,104480.34,0.04480338,-0.00555139,5,4,1,0.2,-0.00410187,-0.00303698,-0.02050937,0.129996,0.00306452,-0.01168045,99385.56,-0.00614435,-0.00615173
6,2018-01-01,2025-12-31,2026-01-01,2026-12-31,OK,60,200,14,1.2,20,41,25,16,0.463415,0.00325397,-0.00034424,0.13341297,1.939501,0.0554557,-0.0118922,104038.98,0.04038982,-0.00598528,2,1,1,0.5,-0.00020546,-0.00020546,-0.00041092,0.939716,0.00640552,-0.00681644,99987.28,-0.00012721,-0.00204493
