param_name,position_fraction,year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
A_v703_stable,1.5,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,104818.21,0.04818214,0.0
A_v703_stable,1.5,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,101143.36,0.01143356,-0.01808144
A_v703_stable,1.5,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100566.82,0.00566822,-0.00910006
A_v703_stable,1.5,2024,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,101493.73,0.01493734,0.0
A_v703_stable,1.5,2025,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,102637.84,0.0263784,-0.01811103
A_v703_stable,2.0,2018,3,2,1,0.333333,-0.00074956,-0.00607728,-0.00224867,0.815232,0.00992154,-0.00609292,99517.07,-0.00482928,-0.0241923
A_v703_stable,2.0,2019,2,2,0,1.0,0.00842513,0.00842513,0.01685026,inf,0.0099201,0.00693016,103397.55,0.0339755,0.0
A_v703_stable,2.0,2020,5,4,1,0.4,0.00117631,-0.00188776,0.00588157,1.420149,0.00996339,-0.00605575,101128.12,0.01128121,-0.02407536
A_v703_stable,2.0,2021,4,2,2,1.0,0.00789848,0.00993015,0.03159391,inf,0.00994722,0.00178638,106459.76,0.06459757,0.0
A_v703_stable,2.0,2022,4,2,2,0.5,0.00194534,0.0019466,0.00778136,1.642595,0.00996102,-0.00607285,101513.79,0.01513785,-0.02407192
A_v703_stable,2.0,2023,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100749.74,0.00749735,-0.01213341
A_v703_stable,2.0,2024,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,101991.65,0.01991646,0.0
A_v703_stable,2.0,2025,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,103513.7,0.03513695,-0.02411127
B_v703_more_trades,0.3,2018,26,2,24,0.423077,0.00070802,-0.00603254,0.01840852,1.202648,0.00996765,-0.006094,100546.39,0.00546391,-0.00908362
B_v703_more_trades,0.3,2019,27,2,25,0.555556,0.00212839,0.00342728,0.0574666,1.900988,0.00996481,-0.00609924,101732.22,0.01732222,-0.00758443
B_v703_more_trades,0.3,2020,21,4,17,0.380952,0.00022826,-0.00603405,0.00479353,1.064167,0.00996623,-0.00609726,100138.35,0.00138347,-0.00790776
B_v703_more_trades,0.3,2021,18,3,15,0.611111,0.00355365,0.0072065,0.06396567,3.048664,0.0099668,-0.00608719,101932.56,0.01932562,-0.00404852
B_v703_more_trades,0.3,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,99346.05,-0.00653947,-0.01446397
B_v703_more_trades,0.3,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,100624.88,0.0062488,-0.00726219
B_v703_more_trades,0.3,2024,13,1,12,0.538462,0.00199127,0.002683,0.02588647,1.710108,0.0099638,-0.00609605,100775.89,0.00775894,-0.00532996
B_v703_more_trades,0.3,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99785.11,-0.0021489,-0.00904116
B_v703_more_trades,0.3,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100164.34,0.00164336,-0.00361752
B_v703_more_trades,0.5,2018,26,2,24,0.423077,0.00070802,-0.00603254,0.01840852,1.202648,0.00996765,-0.006094,100904.08,0.0090408,-0.0151026
B_v703_more_trades,0.5,2019,27,2,25,0.555556,0.00212839,0.00342728,0.0574666,1.900988,0.00996481,-0.00609924,102896.13,0.02896133,-0.01263373
B_v703_more_trades,0.5,2020,21,4,17,0.380952,0.00022826,-0.00603405,0.00479353,1.064167,0.00996623,-0.00609726,100224.51,0.00224507,-0.01316063
B_v703_more_trades,0.5,2021,18,3,15,0.611111,0.00355365,0.0072065,0.06396567,3.048664,0.0099668,-0.00608719,103236.1,0.03236096,-0.00674219
