param_name,pair,side,signal_date,entry_date,exit_date,exit_year,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
A_v703_stable,EURJPY=X,LONG,2018-06-27,2018-06-28,2018-06-29,2018,1530230400,127.44599914550781,128.7204591369629,128.7204591369629,126.68132315063477,TP,2,1,0.009999999999999972,7.846460514294205e-05,0.009921535394857031,True,128.26100158691406,128.25475952148437,38.69397269860249,130.1199951171875,125.0459976196289,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2018-08-02,2018-08-03,2018-08-06,2018,1533513600,129.3939971923828,128.6176332092285,130.68793716430665,128.6176332092285,SL,2,3,-0.006000000000000115,7.728333784396516e-05,-0.00607728333784408,False,130.1929931640625,130.09739807128906,37.53529549573988,131.68800354003906,128.86599731445312,0.007,0.01,0.006,9,40,60
A_v703_stable,GBPUSD=X,SHORT,2018-09-05,2018-09-06,2018-09-07,2018,1536278400,1.2914056777954102,1.2991541118621825,1.278491621017456,1.2991541118621825,SL,2,1,-0.005999999999999946,9.292200124507344e-05,-0.0060929220012450195,False,1.2858428955078125,1.2875698328018188,60.71945061038976,1.3035939931869507,1.2693899869918823,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2019-03-22,2019-03-25,2019-04-04,2019,1554336000,124.38300323486328,125.25499725341797,125.62683326721192,123.6367052154541,TIME,9,10,0.007010556071782294,8.039683670539564e-05,0.006930159235076898,True,126.01000213623047,125.94040008544921,37.06213316527589,127.30999755859375,124.73999786376953,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2019-04-09,2019-04-10,2019-04-12,2019,1555027200,125.1510009765625,126.40251098632812,126.40251098632812,124.40009497070312,TP,3,2,0.009999999999999995,7.990347597677415e-05,0.00992009652402322,True,125.44999694824219,125.39123931884765,38.33029423598804,126.48999786376953,124.22000122070312,0.007,0.01,0.006,9,40,60
A_v703_stable,USDJPY=X,LONG,2020-04-09,2020-04-10,2020-04-13,2020,1586736000,108.5510025024414,107.89969648742675,109.63651252746583,107.89969648742675,SL,2,3,-0.006000000000000055,5.52735567768253e-05,-0.00605527355677688,False,108.9219970703125,107.73456115722657,37.10675841542389,111.29100036621094,104.55000305175781,0.007,0.01,0.006,9,40,60
A_v703_stable,USDJPY=X,LONG,2020-04-13,2020-04-14,2020-04-15,2020,1586908800,107.63200378417969,106.9862117614746,108.70832382202148,106.9862117614746,SL,2,1,-0.0060000000000000235,5.57455012361473e-05,-0.006055745501236171,False,108.33599853515625,108.00300079345703,35.481940300498465,111.29100036621094,106.17500305175781,0.007,0.01,0.006,9,40,60
A_v703_stable,EURUSD=X,SHORT,2020-04-09,2020-04-10,2020-04-17,2020,1587081600,1.0925976037979126,1.0816716277599334,1.0816716277599334,1.0991531894207,TP,6,7,0.010000000000000049,3.661000157876827e-05,0.009963389998421281,True,1.0863661766052246,1.1011597394943238,60.976132582949965,1.1261515617370605,1.0657345056533813,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2020-06-24,2020-06-25,2020-07-06,2020,1593993600,120.4209976196289,121.6252075958252,121.6252075958252,119.69847163391113,TP,8,11,0.010000000000000057,8.304199597803345e-05,0.009916958004022024,True,120.4010009765625,120.36479888916016,39.91523829993015,124.1036605834961,118.01000213623047,0.007,0.01,0.006,9,40,60
A_v703_stable,USDJPY=X,LONG,2020-12-03,2020-12-04,2020-12-16,2020,1608076800,103.8239974975586,103.63400268554688,104.86223747253418,103.20105351257324,TIME,9,12,-0.0018299701089450583,5.779010772669478e-05,-0.001887760216671753,False,104.45800018310547,104.4145199584961,38.71433592823998,105.41500091552734,103.25299835205078,0.007,0.01,0.006,9,40,60
A_v703_stable,GBPUSD=X,SHORT,2021-09-09,2021-09-10,2021-09-20,2021,1632096000,1.3838915824890137,1.3700526666641235,1.3700526666641235,1.3921949319839477,TP,7,10,0.01000000000000002,8.671199501349135e-05,0.009913288004986528,True,1.3767657279968262,1.3786292695999145,64.29267077651161,1.3866932392120361,1.3625277280807495,0.007,0.01,0.006,9,40,60
A_v703_stable,USDJPY=X,LONG,2021-11-08,2021-11-09,2021-11-16,2021,1637020800,113.24299621582031,114.37542617797851,114.37542617797851,112.5635382385254,TP,6,7,0.00999999999999996,5.298340913344525e-05,0.009947016590866515,True,113.4749984741211,113.43664001464843,39.42554585892229,114.54299926757812,112.2699966430664,0.007,0.01,0.006,9,40,60
A_v703_stable,USDJPY=X,LONG,2021-12-16,2021-12-17,2021-12-27,2021,1640563200,113.68000030517578,114.81680030822754,114.81680030822754,112.99792030334473,TP,7,10,0.010000000000000024,5.277973244100021e-05,0.009947220267559025,True,114.13600158691406,113.95672058105468,38.574573123105736,115.40799713134766,112.88200378417969,0.007,0.01,0.006,9,40,60
A_v703_stable,EURUSD=X,SHORT,2021-12-16,2021-12-17,2021-12-29,2021,1640736000,1.1335426568984985,1.1314777135849,1.1222072303295136,1.1403439128398896,TIME,9,12,0.0018216723482189477,3.528760012388466e-05,0.0017863847480950631,True,1.1290758848190308,1.130575647354126,60.284841212509555,1.1368415355682373,1.1202975511550903,0.007,0.01,0.006,9,40,60
A_v703_stable,EURUSD=X,SHORT,2022-03-25,2022-03-28,2022-03-29,2022,1648512000,1.098189115524292,1.1047782502174377,1.0872072243690492,1.1047782502174377,SL,2,1,-0.005999999999999957,3.6423599027298136e-05,-0.006036423599027255,False,1.1009578704833984,1.1078369188308717,60.41300147618706,1.1215918064117432,1.0865312814712524,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2022-05-10,2022-05-11,2022-05-12,2022,1652313600,137.25999450683594,136.43643453979493,138.6325944519043,136.43643453979493,SL,2,1,-0.005999999999999935,7.285443975084795e-05,-0.0060728544397507835,False,137.7429962158203,136.8736407470703,38.68371379422567,139.60000610351562,135.4499969482422,0.007,0.01,0.006,9,40,60
A_v703_stable,EURUSD=X,SHORT,2022-08-01,2022-08-02,2022-08-03,2022,1659484800,1.0261356830596924,1.0158743262290955,1.0158743262290955,1.0322924971580505,TP,2,1,0.01,3.898119971886127e-05,0.009961018800281139,True,1.0208247900009155,1.023424711227417,64.14940285036627,1.0433948040008545,1.0025665760040283,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2022-10-03,2022-10-04,2022-10-04,2022,1664841600,142.08299255371094,143.50382247924804,143.50382247924804,141.23049459838867,TP,1,0,0.009999999999999976,7.03814004777507e-05,0.009929618599522225,True,141.80499267578125,141.4491387939453,38.141809966630504,144.4239959716797,138.83299255371094,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2023-05-22,2023-05-23,2023-05-24,2023,1684886400,149.91000366210938,149.01054364013672,151.40910369873046,149.01054364013672,SL,2,1,-0.0060000000000000105,6.67066890515163e-05,-0.006066706689051527,False,149.01300048828125,148.18792114257812,39.86667262321365,150.8820037841797,146.76246643066406,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2023-07-18,2023-07-19,2023-07-21,2023,1689897600,156.10299682617188,157.6640267944336,157.6640267944336,155.16637884521484,TP,3,2,0.010000000000000014,6.406026920248992e-05,0.009935939730797524,True,155.88699340820312,155.66055908203126,35.96267608735009,157.7740020751953,154.07000732421875,0.007,0.01,0.006,9,40,60
A_v703_stable,USDJPY=X,LONG,2024-09-23,2024-09-24,2024-09-26,2024,1727308800,143.63800048828125,145.07438049316406,145.07438049316406,142.77617248535157,TP,3,2,0.00999999999999996,4.1771675876882676e-05,0.009958228324123077,True,144.00399780273438,143.8202392578125,38.05592546847068,146.7220001220703,140.7899932861328,0.007,0.01,0.006,9,40,60
A_v703_stable,EURJPY=X,LONG,2025-06-02,2025-06-03,2025-06-06,2025,1749168000,163.13787841796875,164.76925720214845,164.76925720214845,162.15905114746093,TP,4,3,0.01000000000000009,6.129784264068593e-05,0.009938702157359404,True,163.2469940185547,163.12054626464842,38.679854480517236,165.01100158691406,162.2259979248047,0.007,0.01,0.006,9,40,60
