strategy,param_name,pair,side,signal_date,entry_date,exit_date,entry_price,exit_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,position_fraction,pnl,equity_after,initial_stop,final_stop,tp_price,sl_price,created_at
V700_RSI_PULLBACK,B_v703_more_trades,GBPUSD=X,SHORT,2026-05-13,2026-05-14,2026-05-15,1.3522284030914309,1.3387061190605165,TP,2,1,0.01,8.874240455655198e-05,0.0099112575954434,1.0,198.22515190886995,20198.22515190887,,1.3603417735099792,1.3387061190605165,1.3603417735099792,2026-05-15 19:00:24
V700_RSI_PULLBACK,B_v703_more_trades,EURUSD=X,SHORT,2026-06-05,2026-06-08,2026-06-12,1.1519410610198977,1.1588527073860169,SL,5,4,-0.0059999999999998,3.472399878218168e-05,-0.006034723998782,1.0,-121.8907140570268,20076.334437851845,,1.1588527073860169,1.1404216504096985,1.1588527073860169,2026-06-12 20:09:09
V700_RSI_PULLBACK,B_v703_more_trades,GBPUSD=X,SHORT,2026-06-04,2026-06-05,2026-06-17,1.3427324295043943,1.3402490615844729,TIME,9,12,0.001849488301134,8.93700020668245e-05,0.0017601182990672,1.0,35.33672362225619,20111.6711614741,,1.350788824081421,1.3293051052093503,1.350788824081421,2026-06-17 20:57:32
V800_ATR_TREND,V800_fixed_usdjpy_gbpusd,GBPUSD=X,SHORT,2026-06-24,2026-06-25,2026-06-30,1.3167771100997925,1.325856981958662,ATR_STOP,4,5,-0.0068955268049742,9.113159628884022e-05,-0.006986658401263,1.0,-140.51337628375296,19971.157785190346,1.3278483100997924,1.325856981958662,,,2026-06-30 19:36:11
V800_ATR_TREND,V800_fixed_usdjpy_gbpusd,USDJPY=X,LONG,2026-06-18,2026-06-19,2026-07-02,161.30599975585938,162.18349129813058,ATR_STOP,10,13,0.0054399188102073,3.719638456772314e-05,0.0054027224256396,1.0,107.89862203203526,20079.056407222382,160.81126015585937,162.18349129813058,,,2026-07-02 19:14:32
V700_RSI_PULLBACK,B_v703_more_trades,EURUSD=X,SHORT,2026-07-13,2026-07-14,2026-07-16,1.1386927366256714,1.1455248930454254,SL,3,2,-0.0059999999999999,3.51280013592898e-05,-0.0060351280013592,1.0,-121.17967556409974,19957.87673165828,,1.1455248930454254,1.1273058092594146,1.1455248930454254,2026-07-16 18:27:37
V700_RSI_PULLBACK,B_v703_more_trades,EURUSD=X,SHORT,2026-07-17,2026-07-20,2026-07-30,1.1432491540908811,1.1466574668884277,TIME,9,10,-0.0029812510994219107,3.498799877250576e-05,-0.0030162390981944166,1.0,-60.19772811497231,19897.679003543308,,1.1501086490154266,1.1318166625499726,1.1501086490154266,2026-07-30 18:41:11
V800_ATR_TREND,V800_fixed_usdjpy_gbpusd,USDJPY=X,LONG,2026-07-22,2026-07-23,2026-07-30,163.08999633789062,163.22103097098216,ATR_STOP,6,7,0.0008034498499837641,3.678950355464581e-05,0.0007666603464291182,1.0,15.254761477991904,19912.9337650213,162.22719633789063,163.22103097098216,,,2026-07-30 18:41:11
