wf_id,pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
1,EURUSD=X,SHORT,2021-02-10,2021-02-11,2021-02-23,1614038400,1.2119449377059937,1.2166796922683716,1.1998254883289337,1.2192166073322297,TIME,9,12,-0.003906740657162212,3.300479976896741e-05,-0.00393974545693118,False,1.2119992971420288,1.212860746383667,50.44733785683722,1.2208894491195679,1.1966731548309326,0.005,0.01,0.006,9,40,50
1,EURUSD=X,SHORT,2021-03-01,2021-03-02,2021-03-05,1614902400,1.2049063444137573,1.1928572809696198,1.1928572809696198,1.21213578248024,TP,4,3,0.009999999999999919,3.319760094670416e-05,0.009966802399053214,True,1.208956003189087,1.2104139137268066,54.321574784200585,1.2171372175216675,1.1966731548309326,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-03-10,2021-03-11,2021-03-23,1616457600,1.3931301832199097,1.3791988813877105,1.3791988813877105,1.4014889643192292,TP,9,12,0.010000000000000038,8.61369608134157e-05,0.009913863039186623,True,1.3890432119369507,1.3896148252487182,51.661989911374796,1.4148274660110474,1.381024718284607,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-04-14,2021-04-15,2021-04-19,1618790400,1.377790093421936,1.3860568339824677,1.3640121924877167,1.3860568339824677,SL,3,4,-0.00600000000000004,8.70959956621281e-05,-0.006087095995662168,False,1.3759700059890747,1.3825244855880738,56.202431736605725,1.3975849151611328,1.3688879013061523,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-05-03,2021-05-04,2021-05-07,1620345600,1.390395164489746,1.3987375354766847,1.3764912128448485,1.3987375354766847,SL,4,3,-0.00600000000000007,8.63063991193023e-05,-0.006086306399119373,False,1.3819791078567505,1.3836253929138183,55.09694964219649,1.3993842601776123,1.3712154626846313,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-08-13,2021-08-16,2021-08-19,1629331200,1.3866355419158936,1.3727691864967346,1.3727691864967346,1.394955355167389,TP,4,3,0.009999999999999993,8.654040400132669e-05,0.009913459595998667,True,1.3811582326889038,1.383732876777649,54.92782342903711,1.3964334726333618,1.3633265495300293,0.005,0.01,0.006,9,40,50
1,EURUSD=X,SHORT,2021-08-27,2021-08-30,2021-09-02,1630540800,1.1799967288970947,1.1870767092704773,1.1681967616081237,1.1870767092704773,SL,4,3,-0.00599999999999997,3.389839905521325e-05,-0.006033898399055183,False,1.1756407022476196,1.1780289316177368,51.00779940026021,1.1892997026443481,1.1676595211029053,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-09-08,2021-09-09,2021-09-09,1631145600,1.3766520023345947,1.3849119143486024,1.3628854823112488,1.3849119143486024,SL,1,0,-0.0060000000000000695,8.71679987364258e-05,-0.0060871679987364955,False,1.3779798746109009,1.3791203689575195,53.10511405134831,1.3866932392120361,1.3625277280807495,0.005,0.01,0.006,9,40,50
1,USDJPY=X,LONG,2021-08-31,2021-09-01,2021-09-13,1631491200,110.06199645996094,109.91500091552734,111.16261642456055,109.40162448120117,TIME,9,12,-0.001335570398153451,5.4514729815779045e-05,-0.0013900851279692302,False,109.94400024414062,109.81767944335938,38.50212866413248,110.5979995727539,108.99099731445312,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-09-09,2021-09-10,2021-09-20,1632096000,1.3838915824890137,1.3700526666641235,1.3700526666641235,1.3921949319839477,TP,7,10,0.01000000000000002,8.671199501349135e-05,0.009913288004986528,True,1.3767657279968262,1.3786292695999145,64.29267077651161,1.3866932392120361,1.3625277280807495,0.005,0.01,0.006,9,40,50
1,EURUSD=X,SHORT,2021-10-20,2021-10-21,2021-11-02,1635811200,1.165243148803711,1.1599582433700562,1.1535907173156739,1.1722346076965333,TIME,9,12,0.004535452913051236,3.4327599386502066e-05,0.004501125313664734,True,1.1631964445114136,1.1644216680526733,55.217295118234105,1.1740258932113647,1.15340256690979,0.005,0.01,0.006,9,40,50
1,GBPUSD=X,SHORT,2021-11-02,2021-11-03,2021-11-04,1635984000,1.361748456954956,1.3481309723854065,1.3481309723854065,1.3699189476966858,TP,2,1,0.01000000000000002,8.81220018184088e-05,0.00991187799818161,True,1.365541934967041,1.3666085243225097,56.326008905905034,1.3822999000549316,1.3578838109970093,0.005,0.01,0.006,9,40,50
1,EURUSD=X,SHORT,2021-11-02,2021-11-03,2021-11-11,1636588800,1.158077597618103,1.146496821641922,1.146496821641922,1.1650260632038116,TP,7,8,0.009999999999999985,3.453999980853677e-05,0.009965460000191448,True,1.1599582433700562,1.1602298355102538,56.84897214977993,1.1683608293533325,1.15340256690979,0.005,0.01,0.006,9,40,50
1,USDJPY=X,LONG,2021-11-08,2021-11-09,2021-11-16,1637020800,113.24299621582031,114.37542617797851,114.37542617797851,112.5635382385254,TP,6,7,0.00999999999999996,5.298340913344525e-05,0.009947016590866515,True,113.4749984741211,113.43664001464843,39.42554585892229,114.54299926757812,112.2699966430664,0.005,0.01,0.006,9,40,50
1,EURUSD=X,SHORT,2021-12-10,2021-12-13,2021-12-23,1640217600,1.1311193704605103,1.1328877210617065,1.1198081767559052,1.1379060866832733,TIME,9,10,-0.0015633633791244722,3.536319953897959e-05,-0.0015987265786634518,False,1.1293309926986694,1.1349459981918335,52.30738406729466,1.145081877708435,1.1202975511550903,0.005,0.01,0.006,9,40,50
1,USDJPY=X,LONG,2021-12-16,2021-12-17,2021-12-27,1640563200,113.68000030517578,114.81680030822754,114.81680030822754,112.99792030334473,TP,7,10,0.010000000000000024,5.277973244100021e-05,0.009947220267559025,True,114.13600158691406,113.95672058105468,38.574573123105736,115.40799713134766,112.88200378417969,0.005,0.01,0.006,9,40,50
2,EURUSD=X,SHORT,2022-01-04,2022-01-05,2022-01-07,1641513600,1.1285407543182373,1.1353119988441467,1.117255346775055,1.1353119988441467,SL,3,2,-0.005999999999999962,3.5444001332645184e-05,-0.006035444001332607,False,1.1302244663238525,1.1309643363952637,54.31748368024072,1.1373459100723267,1.1243535280227661,0.003,0.01,0.006,9,40,50
2,EURUSD=X,SHORT,2022-01-07,2022-01-10,2022-01-12,1641945600,1.135344386100769,1.1421564524173737,1.1239909422397614,1.1421564524173737,SL,3,2,-0.006000000000000069,3.523160064002796e-05,-0.006035231600640097,False,1.1296881437301636,1.1307163047790527,57.08944583504959,1.1373459100723267,1.1243535280227661,0.003,0.01,0.006,9,40,50
2,EURUSD=X,SHORT,2022-01-24,2022-01-25,2022-01-27,1643241600,1.132387399673462,1.1210635256767272,1.1210635256767272,1.1391817240715028,TP,3,2,0.010000000000000103,3.5323600396414254e-05,0.009964676399603689,True,1.1341469287872314,1.1341777086257934,54.163903723013846,1.1457115411758423,1.1283625364303589,0.003,0.01,0.006,9,40,50
