run_id,breakout_days,ma_days,atr_days,atr_mult,max_hold_days,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
76,40,50,14,2.5,90,102,72,30,0.333333,-0.0007261,-0.00553276,-0.07406191,0.897679,0.06201174,-0.02982283,97670.0,-0.02329995,-0.06769043,-0.06972299
123,40,200,14,2.5,60,91,67,24,0.296703,-0.00071629,-0.00594765,-0.06518209,0.897646,0.07829829,-0.02982283,97932.67,-0.0206733,-0.07657569,-0.07234901
171,60,150,14,2.5,60,86,63,23,0.313953,-0.00094572,-0.00579669,-0.08133167,0.866285,0.07829829,-0.02982283,97475.22,-0.02524782,-0.06709817,-0.07307246
58,20,200,14,2.5,40,121,87,34,0.322314,-0.00069063,-0.00403836,-0.08356571,0.885703,0.05249327,-0.02982283,97401.09,-0.02598911,-0.07007259,-0.07355767
48,20,150,14,3.0,90,112,79,33,0.321429,-0.00051801,-0.0045894,-0.05801694,0.932344,0.06043654,-0.0396092,98087.33,-0.01912669,-0.08393535,-0.07363197
10,20,50,14,2.5,40,153,101,52,0.313725,-0.00066979,-0.00558282,-0.10247863,0.897864,0.05249327,-0.0299538,96789.66,-0.03210343,-0.06083633,-0.07396358
43,20,150,14,2.5,60,123,88,35,0.333333,-0.0005329,-0.0039756,-0.06554625,0.91551,0.07829829,-0.02982283,97898.35,-0.02101652,-0.08447425,-0.07596424
31,20,100,14,3.0,60,122,86,36,0.303279,-0.00062963,-0.00529025,-0.07681465,0.918891,0.07829829,-0.0396092,97504.95,-0.02495053,-0.07743876,-0.07645081
62,20,200,14,3.0,40,112,80,32,0.3125,-0.0006646,-0.00496412,-0.07443488,0.911713,0.06043654,-0.0396092,97616.04,-0.02383961,-0.07995972,-0.07713222
80,40,50,14,3.0,90,93,66,27,0.365591,-0.00082487,-0.00635519,-0.07671305,0.906007,0.06043654,-0.0396092,97548.08,-0.02451924,-0.0775536,-0.07765038
172,60,150,14,2.5,90,86,63,23,0.313953,-0.0011351,-0.00579669,-0.09761822,0.839509,0.06201174,-0.02982283,97009.89,-0.02990112,-0.06709817,-0.07924079
9,20,50,14,2.5,20,167,111,56,0.347305,-0.00063351,-0.00541979,-0.10579587,0.905498,0.05224107,-0.0299538,96684.23,-0.03315765,-0.06845347,-0.0792978
73,40,50,14,2.5,20,114,81,33,0.359649,-0.00063449,-0.00519803,-0.07233199,0.907344,0.05224107,-0.02982283,97724.61,-0.02275385,-0.08611233,-0.07949718
175,60,150,14,3.0,60,79,58,21,0.341772,-0.00108727,-0.00691581,-0.08589421,0.876765,0.07829829,-0.0396092,97302.98,-0.02697016,-0.07324768,-0.07961692
107,40,150,14,2.5,60,94,68,26,0.297872,-0.00093964,-0.00579669,-0.0883263,0.867939,0.07829829,-0.02982283,97250.36,-0.02749644,-0.0779962,-0.08181129
124,40,200,14,2.5,90,91,67,24,0.296703,-0.00100359,-0.00594765,-0.09132645,0.856592,0.06201174,-0.02982283,97182.7,-0.02817298,-0.07657569,-0.08214709
176,60,150,14,3.0,90,78,57,21,0.346154,-0.00121086,-0.00682091,-0.09444682,0.861584,0.06043654,-0.0396092,97067.22,-0.02932776,-0.07324768,-0.08296322
32,20,100,14,3.0,90,121,85,36,0.305785,-0.00079099,-0.0051079,-0.09570996,0.897352,0.06043654,-0.0396092,96972.95,-0.03027051,-0.07743876,-0.0830617
79,40,50,14,3.0,60,95,67,28,0.357895,-0.00096042,-0.00668458,-0.09123959,0.892046,0.07829829,-0.0396092,97109.88,-0.02890117,-0.0775536,-0.08311666
