date,pair,side,net_return,pnl,equity,peak,drawdown
2018-10-31,GBPJPY=X,SHORT,0.01368422166635596,410.5266499906788,100410.52664999067,100410.52664999067,0.0
2018-11-01,GBPUSD=X,SHORT,-0.004030077704166312,-121.39866741471741,100289.12798257596,100410.52664999067,-0.001209023311249835
2018-11-15,USDJPY=X,LONG,-0.005436915502777744,-163.57905440655856,100125.5489281694,100410.52664999067,-0.002838125954807924
2018-12-12,GBPJPY=X,SHORT,0.00558827547631064,167.85874488822904,100293.40767305763,100410.52664999067,-0.001166401380816251
2018-12-24,GBPUSD=X,SHORT,-0.008336777656133531,-250.8371520438714,100042.57052101377,100410.52664999067,-0.003664517468965345
2019-01-04,GBPJPY=X,SHORT,0.026546492235695267,796.7337964725265,100839.3043174863,100839.3043174863,0.0
2019-04-25,USDJPY=X,LONG,-0.0036769871324272103,-111.23544732549261,100728.0688701608,100839.3043174863,-0.0011030961397282546
2019-04-30,GBPUSD=X,SHORT,-0.006334036185070132,-191.40456992275045,100536.66430023804,100839.3043174863,-0.003001210879989946
2019-06-04,GBPUSD=X,SHORT,-0.002679850465037694,-80.82696797349944,100455.83733226455,100839.3043174863,-0.0038027531805894244
2019-06-10,GBPJPY=X,SHORT,0.006696796570817793,201.81969208960174,100657.65702435415,100839.3043174863,-0.0018013540886819834
2019-06-20,GBPUSD=X,SHORT,-0.00770239785004267,-232.59159631641535,100425.06542803773,100839.3043174863,-0.004107911019936794
2019-06-27,GBPJPY=X,SHORT,-0.005532042824646596,-166.6667287847523,100258.39869925298,100839.3043174863,-0.005760706325426135
2019-07-01,EURUSD=X,LONG,-0.006750328440472172,-203.03313604072966,100055.36556321225,100839.3043174863,-0.007774138859644064
2019-07-24,GBPJPY=X,SHORT,-0.005550444354369273,-166.60552167440557,99888.76004153785,100839.3043174863,-0.009426327188411743
2019-08-13,GBPJPY=X,SHORT,0.00242921595345974,72.79541083926468,99961.55545237711,100839.3043174863,-0.008704431977690441
2019-08-19,GBPUSD=X,SHORT,0.004241783238236639,127.20457511578664,100088.7600274929,100839.3043174863,-0.007442973700317879
2019-12-16,EURUSD=X,LONG,-0.00010271038072661584,-3.084046394663605,100085.67598109823,100839.3043174863,-0.007473557473337111
2019-12-20,EURJPY=X,LONG,-0.0025370523392265042,-76.17677951127335,100009.49920158696,100839.3043174863,-0.00822898493316404
2020-03-11,EURUSD=X,LONG,-0.005708318152778348,-171.26581192280716,99838.23338966416,100839.3043174863,-0.009927388279775573
2020-03-20,GBPJPY=X,SHORT,0.038585427970215226,1155.690288939127,100993.92367860329,100993.92367860329,0.0
2020-03-20,GBPUSD=X,SHORT,0.030224530026165805,915.7481636052727,101909.67184220855,101909.67184220855,0.0
2020-05-20,GBPUSD=X,SHORT,-0.0035520743632088242,-108.59721981411995,101801.07462239443,101909.67184220855,-0.001065622308962677
2020-05-26,GBPJPY=X,SHORT,-0.014919758647974745,-455.65423904117745,101345.42038335325,101909.67184220855,-0.0055367802550572165
2020-06-08,USDJPY=X,LONG,-0.0009061512700015181,-27.550284416763983,101317.87009893649,101909.67184220855,-0.005807120487919759
2020-06-09,EURJPY=X,LONG,-0.001060447274714209,-32.232677767879636,101285.6374211686,101909.67184220855,-0.006123407226805377
2020-06-12,EURUSD=X,LONG,0.011582319300172929,351.93677794005555,101637.57419910865,101909.67184220855,-0.002669988414065405
2020-07-24,EURJPY=X,LONG,0.007473934205911359,227.88976272377158,101865.46396183243,101909.67184220855,-0.0004337947476130699
2020-08-03,EURUSD=X,LONG,0.030114864688644737,920.2993990969801,102785.76336092941,102785.76336092941,0.0
2020-09-10,GBPJPY=X,SHORT,-9.411295636713523e-05,-2.9020416187049514,102782.86131931072,102785.76336092941,-2.8233886910089545e-05
2020-09-28,GBPJPY=X,SHORT,0.0021891273563858357,67.50143204451439,102850.36275135523,102850.36275135523,0.0
2020-12-07,EURUSD=X,LONG,0.025178623962676623,776.8891824423768,103627.25193379761,103627.25193379761,0.0
2020-12-23,EURJPY=X,LONG,-0.0038396177656117195,-119.36671125795921,103507.88522253965,103627.25193379761,-0.0011518853296834664
2021-02-17,EURJPY=X,LONG,-0.004241260752381876,-131.7011793469216,103376.18404319273,103627.25193379761,-0.0024227979215860618
2021-02-22,USDJPY=X,LONG,-0.007927585105062276,-245.85704905169735,103130.32699414103,103627.25193379761,-0.004795311372090105
2021-03-01,EURJPY=X,LONG,-0.009037978463477803,-279.626902291341,102850.70009184968,103627.25193379761,-0.0074937029348615125
2021-03-19,EURJPY=X,LONG,-0.006169767326356133,-190.36946667586435,102660.33062517381,103627.25193379761,-0.009330762811712079
2021-03-26,USDJPY=X,LONG,0.025348928901041574,780.6988265924856,103441.0294517663,103627.25193379761,-0.0017970415943315832
2021-04-05,USDJPY=X,LONG,-0.0019127271516998995,-59.35633968965471,103381.67311207665,103627.25193379761,-0.0023698285647664186
2021-04-30,EURUSD=X,LONG,-0.0019968842574795034,-61.93237066481937,103319.74074141184,103627.25193379761,-0.002967474160004091
2021-05-04,EURJPY=X,LONG,-0.0029803487637609354,-92.37865847723013,103227.3620829346,103627.25193379761,-0.003858925556749049
2021-05-13,EURUSD=X,LONG,-0.0069176746336512265,-214.22799125395412,103013.13409168065,103627.25193379761,-0.0059262195094133
2021-06-04,EURJPY=X,LONG,0.0031103737633386107,96.1228048674137,103109.25689654806,103627.25193379761,-0.004998637207715095
2021-07-06,USDJPY=X,LONG,0.004105049530160835,126.98058197352222,103236.23747852158,103627.25193379761,-0.003773278244663225
2021-08-24,GBPUSD=X,SHORT,-0.008797895901324557,-272.47850117413606,102963.75897734745,103627.25193379761,-0.00640268794229959
2021-10-01,USDJPY=X,LONG,0.0001262004585353831,3.898222078640374,102967.65719942609,103627.25193379761,-0.006365070211385215
2021-10-04,GBPUSD=X,SHORT,0.009573128680737158,295.7167896972413,103263.37398912333,103627.25193379761,-0.003511411698022715
2021-10-25,EURJPY=X,LONG,0.0005034458854713059,15.596256226412642,103278.97024534974,103627.25193379761,-0.0033609082741127283
2021-10-25,USDJPY=X,LONG,0.0007960471576924991,24.664479213965652,103303.63472456372,103627.25193379761,-0.0031228967592485946
2021-11-26,USDJPY=X,LONG,0.0008443272645066848,26.166622596176595,103329.8013471599,103627.25193379761,-0.002870389603960022
2021-12-01,GBPUSD=X,SHORT,0.0013240091073129451,41.04287941214314,103370.84422657204,103627.25193379761,-0.0024743269983592553
2021-12-31,EURJPY=X,LONG,-0.00015323207885860863,-4.75191880626211,103366.09230776578,103627.25193379761,-0.0025201828781359348
2022-03-17,GBPUSD=X,SHORT,-0.014174850121284121,-439.55965982561975,102926.53264794016,103627.25193379761,-0.006761920950148492
2022-03-29,USDJPY=X,LONG,0.0428451595618109,1322.9711143334803,104249.50376227364,104249.50376227364,0.0
2022-03-31,EURJPY=X,LONG,0.01238516875587933,387.34430904373085,104636.84807131738,104636.84807131738,0.0
2022-04-20,USDJPY=X,LONG,-0.014114729783297024,-443.0762507707647,104193.77182054661,104636.84807131738,-0.004234418934989104
2022-04-25,EURJPY=X,LONG,-0.005668450553364659,-177.18517305999853,104016.5866474866,104636.84807131738,-0.00592775332269202
2022-04-26,USDJPY=X,LONG,-0.006736982424545581,-210.2273748316019,103806.359272655,104636.84807131738,-0.007936867499070188
2022-05-05,GBPUSD=X,SHORT,0.009259230102655605,288.35008998733497,104094.70936264233,104636.84807131738,-0.005181145253013941
2022-05-17,GBPUSD=X,SHORT,-0.014724002241731163,-459.8072202023699,103634.90214243995,104636.84807131738,-0.009575459767237282
2022-06-10,EURJPY=X,LONG,0.011883687241982285,369.46942932425884,104004.37157176422,104636.84807131738,-0.006044491125364204
2022-06-16,USDJPY=X,LONG,0.0014974381736808837,46.72203486637519,104051.09360663059,104636.84807131738,-0.005597975048785453
