run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
729,0.007,0.006,0.008,4,45,60,38,32,6,0.578947,0.00016509,0.00234713,0.0062735,1.063449,100182.45,0.00182447,-0.00877623,-0.0035456,4
128,0.003,0.008,0.004,7,35,55,57,0,57,0.368421,0.00023666,-0.00403522,0.01348943,1.092209,100397.11,0.00397114,-0.01239899,-0.00358148,4
935,0.007,0.01,0.006,9,45,55,70,30,40,0.4,0.00030951,-0.00603443,0.02166555,1.090313,100634.08,0.00634079,-0.01627677,-0.00358554,4
230,0.003,0.01,0.004,5,40,55,73,15,58,0.356164,0.00036419,-0.00403522,0.02658604,1.143442,100788.47,0.00788475,-0.01891321,-0.0036039,4
494,0.005,0.008,0.006,7,45,55,89,40,49,0.460674,0.00020482,-0.00603266,0.01822892,1.065616,100530.44,0.00530436,-0.013926,-0.00378824,4
171,0.003,0.008,0.006,7,45,60,52,45,7,0.480769,0.00020726,-0.00325499,0.01077765,1.0681,100313.71,0.00313715,-0.01133371,-0.00385719,4
545,0.005,0.01,0.004,4,40,55,68,15,53,0.382353,0.00032172,-0.00403541,0.02187695,1.128167,100647.61,0.00647606,-0.01698233,-0.0038926,4
551,0.005,0.01,0.004,5,35,55,53,0,53,0.358491,0.00024532,-0.00403451,0.01300219,1.096288,100382.24,0.00382242,-0.01282657,-0.0039856,4
263,0.003,0.01,0.006,5,35,55,55,0,55,0.418182,0.00023654,-0.00175389,0.01300976,1.078614,100379.24,0.00379245,-0.01268215,-0.00398786,4
1163,0.01,0.008,0.008,5,35,55,22,0,22,0.454545,0.00022463,-0.00049233,0.00494185,1.06642,100142.88,0.00142883,-0.00971916,-0.0041002,4
244,0.003,0.01,0.004,9,35,50,137,0,137,0.328467,0.00024246,-0.00403523,0.03321752,1.08886,100976.8,0.00976796,-0.02056084,-0.00425608,4
1255,0.01,0.01,0.006,9,40,50,68,11,57,0.397059,0.00026982,-0.00603566,0.01834747,1.075861,100533.89,0.00533888,-0.01546056,-0.00433142,4
110,0.003,0.008,0.004,4,35,55,59,0,59,0.40678,0.00020426,-0.00403451,0.01205119,1.084747,100354.48,0.00354481,-0.01244715,-0.00437034,4
77,0.003,0.006,0.008,4,40,55,70,16,54,0.585714,0.00021354,0.00246356,0.0149477,1.082149,100438.45,0.00438453,-0.01369177,-0.0044335,4
870,0.007,0.01,0.004,4,40,60,20,14,6,0.35,0.00019712,-0.00405288,0.00394244,1.074597,100115.04,0.00115038,-0.00949089,-0.00447111,4
20,0.003,0.006,0.004,7,35,55,58,0,58,0.431034,0.00016302,-0.00403426,0.00945511,1.070526,100277.77,0.0027777,-0.0111197,-0.00448787,4
278,0.003,0.01,0.006,7,45,55,95,42,53,0.431579,0.00023764,-0.00603405,0.02257569,1.074084,100657.42,0.0065742,-0.01691058,-0.00457787,4
123,0.003,0.008,0.004,5,40,60,22,15,7,0.363636,0.0001341,-0.00405288,0.00295025,1.051846,100085.44,0.00085437,-0.00848438,-0.00459211,4
447,0.005,0.008,0.004,5,40,60,22,15,7,0.363636,0.0001341,-0.00405288,0.00295025,1.051846,100085.44,0.00085437,-0.00848438,-0.00459211,4
503,0.005,0.008,0.006,9,45,55,89,40,49,0.438202,0.0001954,-0.00603405,0.01739021,1.061156,100504.55,0.00504555,-0.01450261,-0.00460259,4
473,0.005,0.008,0.006,4,40,55,66,15,51,0.469697,0.00012092,-0.00139519,0.00798075,1.041925,100228.12,0.00228122,-0.01015965,-0.0046373,4
308,0.003,0.01,0.008,7,35,55,49,0,49,0.469388,0.000308,-0.00040787,0.01509214,1.085385,100439.32,0.0043932,-0.01524469,-0.00472252,4
1216,0.01,0.01,0.004,9,35,50,59,0,59,0.305085,0.00011908,-0.00403784,0.00702592,1.04212,100200.27,0.00200271,-0.01002045,-0.00482282,4
612,0.005,0.01,0.006,9,45,60,44,37,7,0.409091,0.00015263,-0.00604465,0.00671574,1.046421,100191.31,0.00191313,-0.01042693,-0.00490211,4
1073,0.01,0.006,0.008,9,35,55,22,0,22,0.590909,0.00020303,0.00590709,0.0044667,1.061515,100129.39,0.0012939,-0.01031192,-0.00492532,4
929,0.007,0.01,0.006,9,35,55,40,0,40,0.4,0.00026307,-0.00603413,0.01052261,1.078027,100306.18,0.00306181,-0.01332045,-0.00496389,4
518,0.005,0.008,0.008,5,40,55,63,15,48,0.492063,0.00027827,-0.00037989,0.01753073,1.087741,100512.97,0.00512968,-0.01626614,-0.00510058,4
