param_name,position_fraction,date,pair,side,net_return,pnl,equity,peak,drawdown
A_v703_stable,0.3,2018-06-29,EURJPY=X,LONG,0.009921535394857031,297.64606184571096,100297.6460618457,100297.6460618457,0.0
A_v703_stable,0.3,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-182.86116397099133,100114.78489787472,100297.6460618457,-0.0018231850013531448
A_v703_stable,0.3,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-182.99747266625204,99931.78742520847,100297.6460618457,-0.0036477290445244837
A_v703_stable,0.3,2019-04-04,EURJPY=X,LONG,0.006930159235076898,207.762959850765,100139.55038505924,100297.6460618457,-0.0015762650769389763
A_v703_stable,0.3,2019-04-12,EURJPY=X,LONG,0.00992009652402322,298.01820170762227,100437.56858676687,100437.56858676687,0.0
A_v703_stable,0.3,2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-182.45308595112408,100255.11550081574,100437.56858676687,-0.0018165820670330568
A_v703_stable,0.3,2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-182.1358394009933,100072.97966141475,100437.56858676687,-0.003630005489799859
A_v703_stable,0.3,2020-04-17,EURUSD=X,SHORT,0.009963389998421281,299.1198374012268,100372.09949881598,100437.56858676687,-0.0006518386383908004
A_v703_stable,0.3,2020-07-06,EURJPY=X,LONG,0.009916958004022024,298.61576865158344,100670.71526746756,100670.71526746756,0.0
A_v703_stable,0.3,2020-12-16,USDJPY=X,LONG,-0.001887760216671753,-57.012651379744476,100613.70261608782,100670.71526746756,-0.0005663280650015645
A_v703_stable,0.3,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,299.2237833844035,100912.92639947221,100912.92639947221,0.0
A_v703_stable,0.3,2021-11-16,USDJPY=X,LONG,0.009947016590866515,301.1347659385325,101214.06116541075,101214.06116541075,0.0
A_v703_stable,0.3,2021-12-27,USDJPY=X,LONG,0.009947220267559025,302.0395681759598,101516.1007335867,101516.1007335867,0.0
A_v703_stable,0.3,2021-12-29,EURUSD=X,SHORT,0.0017863847480950631,54.404044210968394,101570.50477779767,101570.50477779767,0.0
A_v703_stable,0.3,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-183.9367776017425,101386.56800019593,101570.50477779767,-0.0018109270797082022
A_v703_stable,0.3,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-184.71176088332535,101201.8562393126,101570.50477779767,-0.0036294841626666186
A_v703_stable,0.3,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,302.42207778694257,101504.27831709955,101570.50477779767,-0.0006520245305761119
A_v703_stable,0.3,2022-10-04,EURJPY=X,LONG,0.009929618599522225,302.36963097256563,101806.64794807212,101806.64794807212,0.0
A_v703_stable,0.3,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-185.2893216289449,101621.35862644317,101806.64794807212,-0.0018200120067155545
A_v703_stable,0.3,2023-07-21,EURJPY=X,LONG,0.009935939730797524,302.91110840223007,101924.2697348454,101924.2697348454,0.0
A_v703_stable,0.3,2024-09-26,USDJPY=X,LONG,0.009958228324123077,304.49554493672935,102228.76527978212,102228.76527978212,0.0
A_v703_stable,0.3,2025-06-06,EURJPY=X,LONG,0.009938702157359404,304.80637500910757,102533.57165479123,102533.57165479123,0.0
A_v703_stable,0.3,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,304.88601542670176,102838.45767021793,102838.45767021793,0.0
A_v703_stable,0.3,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,305.7750049836664,103144.2326752016,103144.2326752016,0.0
A_v703_stable,0.3,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-188.46307907785678,102955.76959612373,103144.2326752016,-0.0018271800001782301
A_v703_stable,0.3,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-186.51233250192158,102769.25726362181,103144.2326752016,-0.0036354471971358215
A_v703_stable,0.5,2018-06-29,EURJPY=X,LONG,0.009921535394857031,496.0767697428516,100496.07676974285,100496.07676974285,0.0
A_v703_stable,0.5,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-305.3715664357289,100190.70520330712,100496.07676974285,-0.003038641668922093
A_v703_stable,0.5,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-305.2270760267419,99885.47812728038,100496.07676974285,-0.006075845566205329
A_v703_stable,0.5,2019-04-04,EURJPY=X,LONG,0.006930159235076898,346.1111343469218,100231.5892616273,100496.07676974285,-0.0026318192372976057
A_v703_stable,0.5,2019-04-12,EURJPY=X,LONG,0.00992009652402322,497.1535201157961,100728.7427817431,100728.7427817431,0.0
A_v703_stable,0.5,2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-304.9700462868345,100423.77273545627,100728.7427817431,-0.003027636778388465
A_v703_stable,0.5,2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-304.0704049799515,100119.70233047631,100728.7427817431,-0.006046342230106472
A_v703_stable,0.5,2020-04-17,EURUSD=X,SHORT,0.009963389998421281,498.7658204221918,100618.46815089851,100728.7427817431,-0.0010947682637471035
A_v703_stable,0.5,2020-07-06,EURJPY=X,LONG,0.009916958004022024,498.91456154074405,101117.38271243926,101117.38271243926,0.0
A_v703_stable,0.5,2020-12-16,USDJPY=X,LONG,-0.001887760216671753,-95.44268614925745,101021.94002629,101117.38271243926,-0.0009438801083357928
A_v703_stable,0.5,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,500.7297931515445,101522.66981944155,101522.66981944155,0.0
A_v703_stable,0.5,2021-11-16,USDJPY=X,LONG,0.009947016590866515,504.92384052152414,102027.59365996308,102027.59365996308,0.0
