pair,side,trades,win_rate,avg_return,total_return,best,worst
GBPUSD=X,SHORT,2,0.5,-0.0018759611285960609,-0.0037519222571921217,0.0030645164348791477,-0.006816438692071269
USDJPY=X,LONG,5,0.2,-0.003322410926175081,-0.016612054630875405,0.006405519399798633,-0.01112413502205042
