timestamp,equity,realized_pnl,trade_count
2026-05-01 17:13:52,100000.0,0.0,0.0
2026-05-01 17:16:29,100000.0,0.0,0.0
2026-05-01 17:20:24,20000.0,0.0,0.0
2026-05-01 18:08:24,20000.0,0.0,0.0
2026-05-04 18:31:32,20000.0,0.0,0.0
2026-05-04 19:01:47,20000.0,0.0,0.0
2026-05-05 18:20:19,20000.0,0.0,0.0
2026-05-05 18:32:25,20000.0,0.0,0.0
2026-05-06 18:37:09,20000.0,0.0,0.0
2026-05-06 19:04:57,20000.0,0.0,0.0
2026-05-07 18:45:56,20000.0,0.0,0.0
2026-05-07 19:09:43,20000.0,0.0,0.0
2026-05-08 17:49:12,20000.0,0.0,0.0
2026-05-08 18:01:15,20000.0,0.0,0.0
2026-05-11 14:52:02,20000.0,0.0,0.0
2026-05-11 19:44:37,20000.0,0.0,0.0
2026-05-11 19:49:16,20000.0,0.0,0.0
2026-05-12 18:49:41,20000.0,0.0,0.0
2026-05-12 19:16:26,20000.0,0.0,0.0
2026-05-13 18:50:57,20000.0,0.0,0.0
2026-05-13 19:09:26,20000.0,0.0,0.0
2026-05-14 18:40:57,20000.0,0.0,0.0
2026-05-14 19:01:05,20000.0,0.0,0.0
2026-05-15 19:00:24,20198.23,198.23,1.0
2026-05-15 19:08:03,20198.23,198.23,1.0
2026-05-18 20:12:49,20198.23,198.23,1.0
2026-05-18 20:33:16,20198.23,198.23,1.0
2026-05-19 19:44:55,20198.23,198.23,1.0
2026-05-19 19:50:11,20198.23,198.23,1.0
2026-05-20 19:29:32,20198.23,198.23,1.0
2026-05-20 19:37:43,20198.23,198.23,1.0
2026-05-21 19:49:22,20198.23,198.23,1.0
2026-05-21 19:54:55,20198.23,198.23,1.0
2026-05-22 19:29:42,20198.23,198.23,1.0
2026-05-22 19:37:02,20198.23,198.23,1.0
2026-05-25 20:17:10,20198.23,198.23,1.0
2026-05-25 20:39:17,20198.23,198.23,1.0
2026-05-27 20:01:28,20198.23,198.23,1.0
2026-05-27 20:23:58,20198.23,198.23,1.0
2026-05-28 20:02:37,20198.23,198.23,1.0
2026-05-28 20:25:07,20198.23,198.23,1.0
2026-05-29 19:54:25,20198.23,198.23,1.0
2026-05-29 19:59:39,20198.23,198.23,1.0
2026-06-01 21:49:43,20198.23,198.23,1.0
2026-06-01 22:18:42,20198.23,198.23,1.0
2026-06-02 20:42:37,20198.23,198.23,1.0
2026-06-02 20:53:33,20198.23,198.23,1.0
2026-06-03 21:10:59,20198.23,198.23,1.0
2026-06-03 21:25:36,20198.23,198.23,1.0
2026-06-04 19:44:36,20198.23,198.23,1.0
2026-06-04 19:51:10,20198.23,198.23,1.0
2026-06-05 19:54:38,20198.23,198.23,1.0
2026-06-05 20:00:12,20198.23,198.23,1.0
2026-06-08 21:08:13,20198.23,198.23,1.0
2026-06-08 21:17:15,20198.23,198.23,1.0
2026-06-09 19:41:59,20198.23,198.23,1.0
2026-06-09 19:48:36,20198.23,198.23,1.0
2026-06-10 20:05:39,20198.23,198.23,1.0
2026-06-10 20:26:26,20198.23,198.23,1.0
2026-06-11 20:48:10,20198.23,198.23,1.0
2026-06-11 21:00:00,20198.23,198.23,1.0
2026-06-12 20:09:09,20076.33,76.33,2.0
2026-06-12 20:29:30,20076.33,76.33,2.0
2026-06-15 22:27:07,20076.33,76.33,2.0
2026-06-15 22:41:57,20076.33,76.33,2.0
2026-06-16 21:22:37,20076.33,76.33,2.0
2026-06-16 21:32:37,20076.33,76.33,2.0
2026-06-17 20:57:32,20111.67,111.67,3.0
2026-06-17 21:07:48,20111.67,111.67,3.0
2026-06-18 20:16:59,20111.67,111.67,3.0
2026-06-18 20:39:37,20111.67,111.67,3.0
2026-06-19 20:41:34,20111.67,111.67,3.0
2026-06-19 20:55:10,20111.67,111.67,3.0
2026-06-22 22:06:11,20111.67,111.67,3.0
2026-06-22 22:19:22,20111.67,111.67,3.0
2026-06-23 19:43:37,20111.67,111.67,3.0
2026-06-23 19:49:26,20111.67,111.67,3.0
2026-06-24 19:27:53,20111.67,111.67,3.0
2026-06-24 19:35:55,20111.67,111.67,3.0
2026-06-25 19:20:51,20111.67,111.67,3.0
2026-06-25 19:29:14,20111.67,111.67,3.0
2026-06-26 19:28:39,20111.67,111.67,3.0
2026-06-26 19:38:53,20111.67,111.67,3.0
2026-06-29 21:08:53,20111.67,111.67,3.0
2026-06-29 21:18:49,20111.67,111.67,3.0
2026-06-30 19:36:11,19971.16,-28.84,4.0
2026-06-30 19:44:54,19971.16,-28.84,4.0
2026-07-01 19:48:39,19971.16,-28.84,4.0
2026-07-01 19:57:50,19971.16,-28.84,4.0
2026-07-02 19:14:32,20079.06,79.06,5.0
2026-07-02 19:22:12,20079.06,79.06,5.0
