pair,side,trades,win_rate,avg_return,total_return,best,worst
USDJPY=X,LONG,26,0.5,0.0027095889809042664,0.07044931350351093,0.0458327397589777,-0.011516208432095255
GBPUSD=X,SHORT,17,0.4117647058823529,0.0036795724990936816,0.06255273248459259,0.05545569714670374,-0.011892195820725706
