run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
1647,0.01,0.004,0.004,4,50,60,329,293,36,0.428571,-0.00066255,-0.00403827,-0.21797828,0.716595,0.00396792,-0.00416038,93647.53,-0.06352467,-0.07347578,-0.12893077
1656,0.01,0.004,0.004,5,50,60,329,293,36,0.428571,-0.00066255,-0.00403827,-0.21797828,0.716595,0.00396792,-0.00416038,93647.53,-0.06352467,-0.07347578,-0.12893077
1665,0.01,0.004,0.004,7,50,60,329,293,36,0.428571,-0.00066255,-0.00403827,-0.21797828,0.716595,0.00396792,-0.00416038,93647.53,-0.06352467,-0.07347578,-0.12893077
632,0.005,0.004,0.008,2,40,55,240,53,187,0.504167,-0.00094548,7.866e-05,-0.22691616,0.646403,0.00396765,-0.00816281,93393.45,-0.06606554,-0.06677439,-0.12893989
1143,0.007,0.004,0.006,3,50,60,486,443,43,0.555556,-0.00039095,0.00384727,-0.19000005,0.843091,0.00396792,-0.00616675,94411.96,-0.05588037,-0.08647999,-0.12897383
1413,0.007,0.008,0.006,3,50,60,443,401,42,0.437923,-0.00045565,-0.00348837,-0.2018545,0.85288,0.00796707,-0.00616675,94053.5,-0.05946504,-0.08119797,-0.12897996
439,0.003,0.01,0.004,5,50,50,1052,544,508,0.311787,-0.00018292,-0.00405466,-0.19243579,0.934001,0.00996616,-0.00416675,94232.35,-0.05767654,-0.08692321,-0.12904435
2020,0.01,0.008,0.008,7,45,50,320,96,224,0.465625,-0.00071272,-0.00629385,-0.22807068,0.828034,0.0079668,-0.00816248,93306.34,-0.06693656,-0.06878372,-0.12909075
706,0.005,0.006,0.004,5,45,50,705,200,505,0.385816,-0.0002841,-0.00404006,-0.2002885,0.885577,0.0059675,-0.00416281,94099.71,-0.0590029,-0.08478113,-0.12966877
1073,0.005,0.01,0.008,7,40,55,204,46,158,0.397059,-0.00110457,-0.00803406,-0.22533146,0.749395,0.00996553,-0.00816281,93407.21,-0.06592792,-0.06592792,-0.12971591
1679,0.01,0.004,0.006,3,45,55,223,114,109,0.493274,-0.00102323,-0.00014482,-0.22817989,0.640193,0.00396564,-0.00616248,93361.14,-0.06638861,-0.06638861,-0.12973178
1189,0.007,0.004,0.008,4,40,50,434,48,386,0.59447,-0.00054125,0.00385941,-0.23490101,0.808269,0.0039668,-0.00816281,93139.85,-0.06860152,-0.06965971,-0.12974175
1534,0.007,0.01,0.006,2,45,50,570,167,403,0.435088,-0.00039621,-0.00098476,-0.22583974,0.84778,0.00996612,-0.00616281,93373.05,-0.06626953,-0.07440398,-0.12975482
1702,0.01,0.004,0.006,7,40,50,298,43,255,0.533557,-0.00076186,0.00385169,-0.22703448,0.731681,0.003967,-0.00616248,93383.9,-0.06616098,-0.07012307,-0.12987803
953,0.005,0.01,0.004,2,50,55,744,552,192,0.389785,-0.00027928,-0.00403434,-0.20778154,0.875032,0.00996616,-0.00416675,93882.57,-0.06117429,-0.08258225,-0.13003285
662,0.005,0.004,0.008,5,45,55,373,195,178,0.605898,-0.00062534,0.00386347,-0.23325127,0.786626,0.00396765,-0.00816281,93191.46,-0.06808538,-0.06986729,-0.1302326
248,0.003,0.006,0.008,4,45,55,379,197,182,0.509235,-0.00060265,0.00018761,-0.2284039,0.814781,0.0059675,-0.00816281,93313.7,-0.06686305,-0.07168343,-0.13023628
1210,0.007,0.004,0.008,7,45,50,541,160,381,0.632163,-0.0004289,0.00387119,-0.23203531,0.851829,0.0039675,-0.00816281,93201.01,-0.06798988,-0.0724801,-0.13026296
549,0.005,0.004,0.004,2,50,60,640,593,47,0.473438,-0.00032443,-0.00133302,-0.20763335,0.839321,0.00396792,-0.00416675,93921.53,-0.06078472,-0.08291715,-0.13036271
1916,0.01,0.008,0.004,4,50,55,373,267,106,0.30563,-0.00062939,-0.00406207,-0.23476425,0.778453,0.00796564,-0.00416248,93154.51,-0.06845488,-0.06951869,-0.13036378
1259,0.007,0.006,0.004,7,50,55,604,445,159,0.370861,-0.00038956,-0.00405413,-0.23529707,0.848582,0.00596792,-0.00416675,93125.17,-0.06874833,-0.07221435,-0.13041546
694,0.005,0.006,0.004,4,40,50,563,54,509,0.376554,-0.00041637,-0.00403938,-0.23441497,0.832679,0.00596612,-0.00416281,93156.87,-0.06843133,-0.07228059,-0.13041948
658,0.005,0.004,0.008,5,40,50,532,52,480,0.618421,-0.00044114,0.00387041,-0.23468906,0.844124,0.00396765,-0.00816281,93130.71,-0.06869285,-0.07168366,-0.13045123
1202,0.007,0.004,0.008,5,45,55,314,163,151,0.592357,-0.00074643,0.00385905,-0.23437944,0.752184,0.0039675,-0.00816281,93167.28,-0.06832715,-0.06832715,-0.13045319
198,0.003,0.006,0.006,3,50,60,639,594,45,0.494523,-0.00023855,-0.00017732,-0.1524334,0.91291,0.00596792,-0.00616675,95446.61,-0.04553392,-0.10332296,-0.13057779
1448,0.007,0.008,0.008,2,50,55,571,417,154,0.458844,-0.00037651,-0.00059644,-0.2149885,0.863004,0.00796762,-0.00816281,93668.65,-0.06331345,-0.07948284,-0.13066484
324,0.003,0.008,0.006,2,50,60,655,610,45,0.458015,-0.00026921,-0.00064891,-0.17632937,0.890821,0.00796616,-0.00616675,94768.07,-0.05231935,-0.09464076,-0.13072401
657,0.005,0.004,0.008,4,50,60,574,532,42,0.623693,-0.00030328,0.00386446,-0.174085,0.887872,0.00396792,-0.00816038,94836.71,-0.05163293,-0.0953222,-0.13092353
1832,0.01,0.006,0.006,5,45,55,214,108,106,0.420561,-0.00107155,-0.00603821,-0.22931079,0.68822,0.00596564,-0.00616248,93320.76,-0.06679243,-0.06679243,-0.13094184
1712,0.01,0.004,0.008,2,40,55,150,42,108,0.453333,-0.00147832,-0.00088656,-0.22174799,0.519627,0.00396345,-0.00816248,93546.09,-0.06453911,-0.06453911,-0.13095359
1958,0.01,0.008,0.006,4,45,55,208,104,104,0.370192,-0.00109972,-0.00604147,-0.22874111,0.700211,0.00796564,-0.00616248,93331.42,-0.06668583,-0.06668583,-0.13103166
892,0.005,0.008,0.006,7,40,50,489,47,442,0.411043,-0.0004203,-0.00603848,-0.20552475,0.880541,0.0079668,-0.00616281,93926.59,-0.06073413,-0.08261852,-0.13103191
587,0.005,0.004,0.006,2,40,55,247,54,193,0.473684,-0.0009301,-0.00064891,-0.22973391,0.638941,0.00396765,-0.00616281,93318.31,-0.06681686,-0.06864582,-0.13103449
1393,0.007,0.008,0.004,7,50,50,788,412,376,0.321066,-0.00028854,-0.0040558,-0.22736847,0.896126,0.0079675,-0.00416675,93304.08,-0.06695925,-0.0764989,-0.13104375
688,0.005,0.006,0.004,3,45,50,715,202,513,0.397203,-0.00029246,-0.00403698,-0.20910692,0.876483,0.0059675,-0.00416281,93854.94,-0.06145061,-0.08343928,-0.13112661
1557,0.007,0.01,0.006,4,50,60,425,384,41,0.397647,-0.00049992,-0.00603638,-0.2124673,0.856458,0.0099662,-0.00616675,93739.0,-0.06261004,-0.07941284,-0.13113955
1575,0.007,0.01,0.006,7,50,60,412,372,40,0.373786,-0.0004618,-0.00605432,-0.19026082,0.877959,0.00996631,-0.00616675,94355.85,-0.0564415,-0.08768398,-0.13120667
1723,0.01,0.004,0.008,3,45,50,354,109,245,0.570621,-0.00066427,0.00385151,-0.2351503,0.76365,0.0039668,-0.00816248,93144.38,-0.0685562,-0.07015775,-0.13132506
1682,0.01,0.004,0.006,3,50,55,389,280,109,0.537275,-0.00060071,0.00384443,-0.23367651,0.77093,0.00396792,-0.00616248,93191.39,-0.06808607,-0.0715723,-0.13135102
1535,0.007,0.01,0.006,2,45,55,326,167,159,0.411043,-0.00070765,-0.00121973,-0.2306935,0.736932,0.00996345,-0.00616281,93272.3,-0.067277,-0.07130056,-0.13139394
1961,0.01,0.008,0.006,4,50,55,357,253,104,0.406162,-0.00066253,-0.00603841,-0.23652391,0.807964,0.0079662,-0.00616248,93087.25,-0.06912753,-0.06963166,-0.13145818
1548,0.007,0.01,0.006,3,50,60,432,390,42,0.425926,-0.00045083,-0.00396382,-0.194759,0.857815,0.00996397,-0.00616675,94247.32,-0.0575268,-0.08689055,-0.13154755
131,0.003,0.004,0.008,7,45,55,396,206,190,0.613636,-0.00059743,0.00387626,-0.23658328,0.799963,0.00396765,-0.00816281,93093.45,-0.06906553,-0.07084557,-0.13171631
1566,0.007,0.01,0.006,5,50,60,416,375,41,0.387019,-0.00052018,-0.00604138,-0.2163929,0.856195,0.0099662,-0.00616675,93625.57,-0.06374432,-0.07849962,-0.13174577
2159,0.01,0.01,0.008,7,50,55,317,227,90,0.419558,-0.00064369,-0.00803627,-0.20404963,0.855431,0.00996762,-0.00816248,93965.11,-0.06034891,-0.08123615,-0.13177472
2006,0.01,0.008,0.008,4,50,55,340,243,97,0.464706,-0.00068671,-0.00162976,-0.23347982,0.819217,0.00796762,-0.00816248,93159.32,-0.06840682,-0.07062828,-0.1317765
2110,0.01,0.01,0.006,7,45,50,331,98,233,0.353474,-0.00066152,-0.0060542,-0.21896208,0.831352,0.0099668,-0.00616248,93564.89,-0.06435109,-0.07622425,-0.13194565
792,0.005,0.006,0.008,4,50,60,538,497,41,0.535316,-0.00033996,0.00198352,-0.18289973,0.895023,0.00596762,-0.00816038,94564.92,-0.05435083,-0.09285193,-0.132032
765,0.005,0.006,0.006,7,50,60,557,514,43,0.486535,-0.00033413,-0.00603375,-0.18610821,0.892783,0.00596792,-0.00616675,94486.09,-0.0551391,-0.09197094,-0.13205712
1327,0.007,0.006,0.008,4,45,50,515,153,362,0.524272,-0.00043967,0.00107302,-0.22642811,0.864683,0.0059675,-0.00816281,93343.62,-0.06656382,-0.07655302,-0.13220289
802,0.005,0.006,0.008,7,40,50,490,50,440,0.540816,-0.0004463,0.00584713,-0.2186881,0.873905,0.00596749,-0.00816281,93554.24,-0.06445758,-0.07921497,-0.13229258
1477,0.007,0.008,0.008,7,40,50,384,43,341,0.476562,-0.0005534,-0.00362172,-0.21250567,0.862704,0.0079668,-0.00816281,93728.05,-0.0627195,-0.08006335,-0.13230419
873,0.005,0.008,0.006,3,50,60,547,503,44,0.449726,-0.00033262,-0.00189964,-0.18194095,0.888462,0.00796707,-0.00616675,94602.53,-0.0539747,-0.09382959,-0.13236453
1714,0.01,0.004,0.008,2,45,50,369,112,257,0.547425,-0.00063508,0.00205344,-0.23434303,0.756672,0.0039668,-0.00816248,93169.98,-0.06830019,-0.07214266,-0.13236507
1751,0.01,0.004,0.008,7,45,55,209,107,102,0.574163,-0.00110734,0.0038593,-0.2314346,0.668212,0.00396564,-0.00816248,93261.36,-0.06738637,-0.06738637,-0.13236889
2105,0.01,0.01,0.006,5,50,55,348,246,102,0.364943,-0.0006845,-0.00605383,-0.23820562,0.816121,0.0099662,-0.00616248,93028.11,-0.06971889,-0.06985824,-0.13245047
1642,0.01,0.004,0.004,4,45,50,382,119,263,0.431937,-0.0006217,-0.0040372,-0.23748989,0.729713,0.0039668,-0.00416248,93097.7,-0.06902295,-0.07151978,-0.13245579
497,0.003,0.01,0.008,2,40,55,243,49,194,0.419753,-0.0009612,-0.00105185,-0.23357232,0.666284,0.00996576,-0.00816281,93198.16,-0.06801839,-0.06858502,-0.13249844
1459,0.007,0.008,0.008,4,40,50,398,45,353,0.472362,-0.00057938,-0.00096101,-0.23059408,0.836081,0.0079668,-0.00816281,93234.07,-0.0676593,-0.07382765,-0.13251525
769,0.005,0.006,0.008,2,45,50,701,198,503,0.495007,-0.00030723,-0.00014467,-0.21536593,0.876445,0.00596612,-0.00816281,93658.19,-0.06341806,-0.0826291,-0.13259361
1166,0.007,0.004,0.006,7,45,55,330,171,159,0.536364,-0.00072345,0.00384821,-0.23873781,0.741846,0.0039675,-0.00616281,93053.59,-0.06946409,-0.06995116,-0.1326595
920,0.005,0.008,0.008,4,40,55,216,49,167,0.435185,-0.00107517,-0.00194583,-0.23223646,0.714858,0.00796576,-0.00816281,93225.9,-0.06774104,-0.06774104,-0.13268556
1414,0.007,0.008,0.006,4,40,50,414,46,368,0.417874,-0.00055697,-0.00603444,-0.23058661,0.831921,0.0079668,-0.00616281,93245.77,-0.06754234,-0.07453456,-0.13273972
2113,0.01,0.01,0.006,7,50,50,467,240,227,0.364026,-0.00050309,-0.00605391,-0.23494422,0.869976,0.0099668,-0.00616248,93084.16,-0.06915844,-0.07322143,-0.13276651
