wf_id,date,pair,side,net_return,pnl,equity,peak,drawdown
1,2021-02-23,EURUSD=X,SHORT,-0.00393974545693118,-118.1923637079354,99881.80763629207,100000.0,-0.0011819236370793629
1,2021-03-05,EURUSD=X,SHORT,0.009966802399053214,298.65067199135024,100180.45830828341,100180.45830828341,0.0
1,2021-03-23,GBPUSD=X,SHORT,0.009913863039186623,297.9526028613802,100478.41091114479,100478.41091114479,0.0
1,2021-04-19,GBPUSD=X,SHORT,-0.006087095995662168,-183.4865198123182,100294.92439133248,100478.41091114479,-0.0018261287986985897
1,2021-05-07,GBPUSD=X,SHORT,-0.006086306399119373,-183.12769203664814,100111.79669929582,100478.41091114479,-0.0036486864046164635
1,2021-08-19,GBPUSD=X,SHORT,0.009913459595998667,297.7362754983905,100409.53297479422,100478.41091114479,-0.0006854998573920801
1,2021-09-02,EURUSD=X,SHORT,-0.006033898399055183,-181.75827607994682,100227.77469871427,100478.41091114479,-0.002494428506160995
1,2021-09-09,GBPUSD=X,SHORT,-0.0060871679987364955,-183.03099081917549,100044.7437078951,100478.41091114479,-0.0043160237041685034
1,2021-09-13,USDJPY=X,LONG,-0.0013900851279692302,-41.721213107951456,100003.02249478715,100478.41091114479,-0.004731249350450439
1,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,297.4076290079914,100300.43012379514,100478.41091114479,-0.0017713336201847785
1,2021-11-02,EURUSD=X,SHORT,0.004501125313664734,135.43944150050254,100435.86956529565,100478.41091114479,-0.0004233879244642802
1,2021-11-04,GBPUSD=X,SHORT,0.00991187799818161,298.6524257317476,100734.5219910274,100734.5219910274,0.0
1,2021-11-11,EURUSD=X,SHORT,0.009965460000191448,301.1597548619968,101035.6817458894,101035.6817458894,0.0
1,2021-11-16,USDJPY=X,LONG,0.009947016590866515,301.50108077876126,101337.18282666816,101337.18282666816,0.0
1,2021-12-23,EURUSD=X,SHORT,-0.0015987265786634518,-48.603134277561566,101288.57969239059,101337.18282666816,-0.000479617973599078
1,2021-12-27,USDJPY=X,LONG,0.009947220267559025,302.2619438365245,101590.84163622711,101590.84163622711,0.0
2,2022-01-07,EURUSD=X,SHORT,-0.006035444001332607,-183.9437507231093,101406.897885504,101590.84163622711,-0.0018106332003997583
2,2022-01-12,EURUSD=X,SHORT,-0.006035231600640097,-183.60423439244315,101223.29365111155,101590.84163622711,-0.00361792440337938
2,2022-01-27,EURUSD=X,SHORT,0.009964676399603689,302.59720960061554,101525.89086071217,101590.84163622711,-0.0006393369172735808
2,2022-02-17,GBPUSD=X,SHORT,-0.0060886187963591284,-185.44573422349129,101340.44512648867,101590.84163622711,-0.0024647547525499247
2,2022-02-24,EURUSD=X,SHORT,0.009964775200985833,302.95042633598996,101643.39555282466,101643.39555282466,0.0
2,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-184.0687774800998,101459.32677534455,101643.39555282466,-0.0018109270797082022
2,2022-03-30,EURUSD=X,SHORT,-0.006036063600264672,-183.72448477680481,101275.60229056775,101643.39555282466,-0.0036184668984790003
2,2022-03-30,GBPUSD=X,SHORT,-0.006091603199145649,-185.07923487258745,101090.52305569517,101643.39555282466,-0.005439335178862192
2,2022-04-08,GBPUSD=X,SHORT,0.009908715998253421,300.50318492213194,101391.0262406173,101643.39555282466,-0.0024828894276381908
2,2022-04-14,EURUSD=X,SHORT,0.009963324397181474,303.05750561952283,101694.08374623682,101694.08374623682,0.0
2,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-185.27201039241666,101508.8117358444,101694.08374623682,-0.0018218563319253311
2,2022-05-23,EURUSD=X,SHORT,-0.006037843599022819,-183.86829875510415,101324.9434370893,101694.08374623682,-0.0036299093865544974
