wf_id,pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,initial_stop,final_stop,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_atr,signal_prev_high,signal_prev_low,breakout_days,ma_days,atr_days,atr_mult,max_hold_days
1,USDJPY=X,LONG,2021-02-05,2021-02-08,2021-02-09,1612828800,105.39700317382812,105.02219826834542,104.7597157069615,105.02219826834542,ATR_STOP,2,1,-0.00355612488207611,5.692761482130929e-05,-0.0036130524968974193,False,105.5719985961914,104.39411987304688,0.5310728890555245,105.49099731445312,103.32599639892578,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-02-17,2021-02-18,2021-02-22,1613952000,105.85600280761719,105.2018561226981,105.10763113839286,105.2018561226981,ATR_STOP,3,4,-0.00617958989163733,5.6680772378156075e-05,-0.006236270664015486,False,106.10299682617188,104.38830978393554,0.623643057686942,105.86799621582031,103.32599639892578,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-02-26,2021-03-01,2021-03-23,1616457600,106.4739990234375,108.55208740234374,105.59482792445591,108.55208740234374,ATR_STOP,17,22,0.019517331911698056,5.635178592925072e-05,0.019460980125768804,True,106.37899780273438,104.38613983154296,0.732642582484654,106.28600311279297,104.28900146484375,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-03-30,2021-03-31,2021-04-05,1617580800,110.29299926757812,110.26103166852678,109.60694165910994,110.26103166852678,ATR_STOP,4,5,-0.0002898425037276048,5.440055162017675e-05,-0.0003442430553477815,False,109.83599853515625,105.19403984069824,0.5717146737234933,109.83399963378906,106.68800354003906,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-06-17,2021-06-18,2021-06-21,1624233600,110.30799865722656,109.75285535539899,109.608226449149,109.75285535539899,ATR_STOP,2,3,-0.005032665886293835,5.439315437717738e-05,-0.005087059040671012,False,110.7699966430664,108.26583969116211,0.5831435067313058,110.322998046875,108.5790023803711,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-07-01,2021-07-02,2021-07-05,1625443200,111.58399963378906,110.94465441022601,110.86785518101283,110.94465441022601,ATR_STOP,2,3,-0.005729721336942047,5.377115016213421e-05,-0.005783492487104181,False,111.1240005493164,108.83901969909668,0.5967870439801898,111.09500122070312,109.18499755859375,20,100,14,1.2,20
1,GBPUSD=X,SHORT,2021-07-02,2021-07-05,2021-07-09,1625788800,1.3829345703125,1.3851480177470616,1.3949908699308122,1.3851480177470616,ATR_STOP,5,4,-0.0016005438594694137,8.677200105922853e-05,-0.0016873158605286423,False,1.3759511709213257,1.3954074501991272,0.010046916348593575,1.420051097869873,1.3763866424560547,20,100,14,1.2,20
1,GBPUSD=X,SHORT,2021-08-20,2021-08-23,2021-08-24,1629763200,1.36284339427948,1.372339517729623,1.372339517729623,1.372339517729623,ATR_STOP,2,1,-0.0069678757588750246,8.805120273077499e-05,-0.0070559269616058,False,1.3630849123001099,1.3927634513378144,0.007913436208452498,1.3984057903289795,1.365411400794983,20,100,14,1.2,20
1,GBPUSD=X,SHORT,2021-09-23,2021-09-24,2021-10-01,1633046400,1.3721938133239746,1.35549841267722,1.383183993612017,1.35549841267722,ATR_STOP,6,7,0.012166940620663464,8.745120320089071e-05,0.012079489417462574,True,1.3617113828659058,1.3906162118911742,0.009158483573368617,1.3913236856460571,1.3617855310440063,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-09-27,2021-09-28,2021-10-01,1633046400,110.96199798583984,111.19920131138393,110.1610835484096,111.19920131138393,ATR_STOP,4,3,0.0021376987603842264,5.407256636425811e-05,0.0020836261940199684,True,110.76399993896484,109.90976943969727,0.667428697858538,110.73899841308594,109.11399841308594,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-10-11,2021-10-12,2021-10-21,1634774400,113.41100311279297,113.7297127859933,112.4177461896624,113.7297127859933,ATR_STOP,8,9,0.002810218272060942,5.290491958732344e-05,0.002757313352473619,True,112.2699966430664,110.14299942016602,0.827714102608817,112.177001953125,109.11399841308594,20,100,14,1.2,20
1,GBPUSD=X,SHORT,2021-11-11,2021-11-12,2021-11-18,1637193600,1.3367197513580322,1.3502204656600951,1.3513657467705862,1.3502204656600951,ATR_STOP,5,6,-0.010099883904870061,8.977199587130117e-05,-0.010189655900741362,False,1.3412736654281616,1.3748747718334198,0.012204996177128382,1.383399486541748,1.342588186264038,20,100,14,1.2,20
1,USDJPY=X,LONG,2021-11-17,2021-11-18,2021-11-26,1637884800,114.20999908447266,114.54514334542411,113.3328879220145,114.54514334542411,ATR_STOP,7,8,0.0029344563841872616,5.253480472898214e-05,0.0028819215794582795,True,114.90399932861328,111.20730972290039,0.7309259687151227,114.68499755859375,112.73100280761719,20,100,14,1.2,20
2,GBPUSD=X,SHORT,2022-03-14,2022-03-15,2022-03-17,1647475200,1.3010838031768799,1.3155524662562779,1.3181612185069493,1.3155524662562779,ATR_STOP,3,2,-0.011120469753039415,9.223079997383246e-05,-0.011212700553013247,False,1.3050298690795898,1.3539353823661804,0.014231179441724504,1.3640704154968262,1.3052444458007812,20,150,14,1.2,20
2,USDJPY=X,LONG,2022-03-14,2022-03-15,2022-03-29,1648512000,118.21800231933594,123.64225725446428,117.16337432861329,123.64225725446428,ATR_STOP,11,14,0.04588349345031307,5.0753691335373124e-05,0.0458327397589777,True,117.52899932861328,113.38758005777994,0.8788566589355469,117.16400146484375,114.41400146484375,20,150,14,1.2,20
2,USDJPY=X,LONG,2022-04-19,2022-04-20,2022-04-20,1650412800,129.33299255371094,127.8773923601423,127.8773923601423,127.8773923601423,ATR_STOP,1,0,-0.01125467032678567,4.639187481499161e-05,-0.01130106220160066,False,127.0979995727539,115.60216674804687,1.2130001613071986,126.79000091552734,119.59400177001953,20,150,14,1.2,20
