position_fraction,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
0.3,7,5,2,0.285714,-0.00290914,-0.00303698,-0.02036398,0.317424,0.00640552,-0.01112414,99389.57,-0.00610435,-0.00610435
0.5,7,5,2,0.285714,-0.00290914,-0.00303698,-0.02036398,0.317424,0.00640552,-0.01112414,98983.15,-0.01016847,-0.01016847
0.7,7,5,2,0.285714,-0.00290914,-0.00303698,-0.02036398,0.317424,0.00640552,-0.01112414,98577.18,-0.01422819,-0.01422819
1.0,7,5,2,0.285714,-0.00290914,-0.00303698,-0.02036398,0.317424,0.00640552,-0.01112414,97969.06,-0.0203094,-0.0203094
1.5,7,5,2,0.285714,-0.00290914,-0.00303698,-0.02036398,0.317424,0.00640552,-0.01112414,96957.8,-0.03042204,-0.03042204
2.0,7,5,2,0.285714,-0.00290914,-0.00303698,-0.02036398,0.317424,0.00640552,-0.01112414,95949.44,-0.04050564,-0.04050564
