wf_id,train_start,train_end,test_start,test_end,status,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,train_trades,train_long_trades,train_short_trades,train_win_rate,train_avg_return,train_median_return,train_total_return_sum,train_profit_factor,train_best_trade,train_worst_trade,train_final_equity,train_total_equity_return,train_max_drawdown,test_trades,test_long_trades,test_short_trades,test_win_rate,test_avg_return,test_median_return,test_total_return_sum,test_profit_factor,test_best_trade,test_worst_trade,test_final_equity,test_total_equity_return,test_max_drawdown
1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,OK,0.005,0.01,0.006,9,40,50,70,8,62,0.471429,0.00126965,-0.00232158,0.08887539,1.420903,0.00996765,-0.00609892,102683.05,0.02683052,-0.00908362,16,3,13,0.5625,0.00329732,0.0072065,0.05275709,2.689685,0.0099668,-0.00608717,101590.84,0.01590842,-0.00473125
2,2018-01-01,2021-12-31,2022-01-01,2022-12-31,OK,0.003,0.01,0.006,9,40,50,92,11,81,0.48913,0.00157211,-0.00079148,0.14463432,1.555115,0.00996765,-0.00609924,104409.11,0.04409105,-0.00908362,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,99346.05,-0.00653947,-0.01446397
3,2018-01-01,2022-12-31,2023-01-01,2023-12-31,OK,0.003,0.01,0.006,9,40,60,20,13,7,0.6,0.00309478,0.00517872,0.06189562,2.560328,0.00996339,-0.00609292,101868.82,0.01868824,-0.00364773,2,2,0,0.5,0.00193462,0.00193462,0.00386923,1.637781,0.00993594,-0.00606671,100115.53,0.00115534,-0.00182001
4,2018-01-01,2023-12-31,2024-01-01,2024-12-31,OK,0.007,0.01,0.006,9,40,60,20,14,6,0.6,0.00318638,0.00842172,0.06372766,2.437089,0.00996339,-0.00609292,101924.27,0.0192427,-0.00364773,1,1,0,1.0,0.00995823,0.00995823,0.00995823,inf,0.00995823,0.00995823,100298.75,0.00298747,0.0
5,2018-01-01,2024-12-31,2025-01-01,2025-12-31,OK,0.007,0.01,0.006,9,40,60,21,15,6,0.619048,0.00350885,0.00991329,0.07368588,2.661652,0.00996339,-0.00609292,102228.77,0.02228765,-0.00364773,5,2,3,0.6,0.00352649,0.00991118,0.01763243,2.453719,0.0099387,-0.0060906,100528.71,0.00528708,-0.00363545
6,2018-01-01,2025-12-31,2026-01-01,2026-12-31,OK,0.007,0.01,0.008,7,40,60,26,17,9,0.769231,0.00388626,0.00991146,0.10104282,3.086568,0.00996339,-0.00809292,103069.35,0.03069353,-0.00484518,0,0,0,,,,0.0,0.0,,,100000.0,0.0,0.0
