pair,side,trades,win_rate,avg_return,total_return,best,worst
USDJPY=X,LONG,36,0.4444444444444444,0.0013675073797390263,0.04923026567060494,0.0428451595618109,-0.014339762231013322
GBPJPY=X,SHORT,17,0.5294117647058824,0.002087576770221597,0.035488805093767145,0.038585427970215226,-0.014919758647974745
EURJPY=X,LONG,39,0.41025641025641024,0.0004295203350833464,0.01675129306825051,0.03737916401239917,-0.016662191136305078
GBPUSD=X,SHORT,23,0.43478260869565216,0.0005450151918933373,0.012535349413546757,0.049724681724739275,-0.015171263503577597
EURUSD=X,LONG,30,0.3333333333333333,0.0003930928130414004,0.011792784391242013,0.030114864688644737,-0.009048383474994539
