date,pair,side,net_return,pnl,equity,peak,drawdown
2018-03-26,GBPJPY=X,SHORT,-0.006121360865367702,-183.64082596103106,99816.35917403897,100000.0,-0.0018364082596102893
2018-04-20,EURUSD=X,LONG,-0.0060322980010034275,-180.63660717389862,99635.72256686506,100000.0,-0.0036427743313494076
2018-06-21,GBPJPY=X,SHORT,-0.006124129375090428,-183.05461661402956,99452.66795025104,100000.0,-0.005473320497489609
2018-06-22,EURJPY=X,SHORT,-0.006078392020989913,-181.35369100048953,99271.31425925055,100000.0,-0.0072868574074945736
2018-06-29,EURJPY=X,LONG,0.009921535394857031,295.4771574351389,99566.79141668568,100000.0,-0.004332085833143262
2018-08-02,GBPJPY=X,LONG,-0.00612283921993808,-182.88943664684317,99383.90198003883,100000.0,-0.006160980199611643
2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-181.19523946596578,99202.70674057287,100000.0,-0.007972932594271231
2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-181.3303063448082,99021.37643422806,100000.0,-0.009786235657719411
2018-10-03,AUDUSD=X,SHORT,0.009861553004249558,292.9513656779664,99314.32779990602,100000.0,-0.0068567220009397856
2019-02-01,EURJPY=X,SHORT,-0.006080219482344709,-181.15587322948718,99133.17192667653,100000.0,-0.008668280733234668
2019-02-01,USDJPY=X,SHORT,0.005727190373318855,170.32636438050744,99303.49829105704,100000.0,-0.006965017089429648
2019-02-05,EURUSD=X,LONG,-0.006034826400093252,-179.78381193254586,99123.7144791245,100000.0,-0.008762855208755083
2019-02-18,GBPJPY=X,LONG,0.009872747456805645,293.58702000987154,99417.30149913437,100000.0,-0.005826985008656305
2019-02-25,AUDUSD=X,LONG,0.009859295997590035,294.05538082848517,99711.35687996286,100000.0,-0.0028864312003714643
2019-04-02,EURJPY=X,LONG,0.003907242591284164,116.87893813083784,99828.23581809369,100000.0,-0.001717641819063087
2019-04-25,GBPJPY=X,SHORT,0.00987626144778916,295.7789270433131,100124.014745137,100124.014745137,0.0
